nohup: ignoring input
==== Fragmentomics pipeline started ====


===== RUNNING BIN SIZE 10000 =====

[BIN 10000 | 00_preprocessing_exploration.py] START
Configuration loaded for 262 samples:
['EE87789', 'EE87790', 'EE87791', 'EE87792', 'EE87793', 'EE87794', 'EE87795', 'EE87796', 'EE87797', 'EE87798', 'EE87799', 'EE87800', 'EE87801', 'EE87802', 'EE87803', 'EE87804', 'EE87805', 'EE87806', 'EE87807', 'EE87809', 'EE87810', 'EE88325', 'EE85727', 'EE85730', 'EE85731', 'EE85732', 'EE85733', 'EE85734', 'EE85737', 'EE85739', 'EE85741', 'EE85743', 'EE85746', 'EE85749', 'EE85750', 'EE85752', 'EE85753', 'EE86234', 'EE86255', 'EE86259', 'EE87865', 'EE87866', 'EE87867', 'EE87868', 'EE87869', 'EE87870', 'EE87871', 'EE87872', 'EE87873', 'EE87874', 'EE87875', 'EE87876', 'EE87877', 'EE87878', 'EE87879', 'EE87880', 'EE87881', 'EE87882', 'EE87883', 'EE87884', 'EE87885', 'EE87886', 'EE87887', 'EE87888', 'EE87889', 'EE87890', 'EE87891', 'EE87896', 'EE87897', 'EE87898', 'EE87899', 'EE87900', 'EE87901', 'EE87902', 'EE87903', 'EE87904', 'EE87905', 'EE87906', 'EE87907', 'EE87908', 'EE87909', 'EE87910', 'EE87911', 'EE87912', 'EE87913', 'EE87914', 'EE87915', 'EE87916', 'EE87917', 'EE87918', 'EE87919', 'EE86268', 'EE86270', 'EE86271', 'EE86272', 'EE86273', 'EE88290', 'EE88291', 'EE88292', 'EE88293', 'EE88294', 'EE88295', 'EE88296', 'EE88297', 'EE88298', 'EE88299', 'EE88300', 'EE88301', 'EE88302', 'EE88303', 'EE88304', 'EE88305', 'EE88306', 'EE88307', 'EE88308', 'EE88309', 'EE88310', 'EE88311', 'EE88312', 'EE88313', 'EE88314', 'EE88315', 'EE88316', 'EE88317', 'EE88318', 'EE88319', 'EE88320', 'EE88321', 'EE88322', 'EE88323', 'EE88324', 'EE85898', 'EE85904', 'EE85905', 'EE85908', 'EE85918', 'EE85928', 'EE85936', 'EE85937', 'EE85941', 'EE85959', 'EE85963', 'EE85970', 'EE85971', 'EE85980', 'EE85985', 'EE85987', 'EE85988', 'EE86275', 'EE86276', 'EE87945', 'EE87946', 'EE87920', 'EE87921', 'EE87922', 'EE87923', 'EE87924', 'EE87925', 'EE87926', 'EE87927', 'EE87928', 'EE87929', 'EE87931', 'EE87932', 'EE87933', 'EE87934', 'EE87935', 'EE87936', 'EE87937', 'EE87938', 'EE87939', 'EE87940', 'EE87941', 'EE87942', 'EE87943', 'EE87944', 'EE87947', 'EE87948', 'EE87949', 'EE87950', 'EE87951', 'EE87952', 'EE87953', 'EE87954', 'EE87955', 'EE87956', 'EE87957', 'EE87958', 'EE87959', 'EE87960', 'EE87961', 'EE87962', 'EE87963', 'EE87964', 'EE87965', 'EE87966', 'EE87967', 'EE87968', 'EE87969', 'EE87970', 'EE87971', 'EE87972', 'EE87973', 'EE87974', 'EE87975', 'EE87976', 'EE87977', 'EE87978', 'EE87979', 'EE87980', 'EE87981', 'EE87982', 'EE87983', 'EE87984', 'EE87985', 'EE87986', 'EE87987', 'EE87988', 'EE87989', 'EE87990', 'EE87991', 'EE87992', 'EE87993', 'EE87994', 'EE87995', 'EE87996', 'EE87997', 'EE87998', 'EE87999', 'EE88000', 'EE88001', 'EE88002', 'EE88003', 'EE88004', 'EE88005', 'EE88006', 'EE88007', 'EE88008', 'EE88009', 'EE88010', 'EE88011', 'EE88012', 'EE88013', 'EE88014', 'EE88015', 'EE88016', 'EE88017', 'EE88018', 'EE88019', 'EE88020', 'EE88021', 'EE88022', 'EE88023', 'EE88024', 'EE88025', 'EE88026', 'EE88027', 'EE88028', 'EE88029', 'EE88030', 'EE88031', 'EE88032']
Creating new binned dataframe with bin size 10000...
Loaded and binned EE87789. Rows: 26110000 -> 4936
Loaded and binned EE87790. Rows: 26110000 -> 4936
Loaded and binned EE87791. Rows: 26110000 -> 4936
Loaded and binned EE87792. Rows: 26110000 -> 4936
Loaded and binned EE87793. Rows: 26110000 -> 4936
Loaded and binned EE87794. Rows: 26110000 -> 4936
Loaded and binned EE87795. Rows: 26110000 -> 4936
Loaded and binned EE87796. Rows: 26110000 -> 4936
Loaded and binned EE87797. Rows: 26110000 -> 4936
Loaded and binned EE87798. Rows: 26110000 -> 4936
Loaded and binned EE87799. Rows: 26110000 -> 4936
Loaded and binned EE87800. Rows: 26110000 -> 4936
Loaded and binned EE87801. Rows: 26110000 -> 4936
Loaded and binned EE87802. Rows: 26110000 -> 4936
Loaded and binned EE87803. Rows: 26110000 -> 4936
Loaded and binned EE87804. Rows: 26110000 -> 4936
Loaded and binned EE87805. Rows: 26110000 -> 4936
Loaded and binned EE87806. Rows: 26110000 -> 4936
Loaded and binned EE87807. Rows: 26110000 -> 4936
Loaded and binned EE87809. Rows: 26110000 -> 4936
Loaded and binned EE87810. Rows: 26110000 -> 4936
Loaded and binned EE88325. Rows: 26110000 -> 4936
Loaded and binned EE85727. Rows: 26110000 -> 4936
Loaded and binned EE85730. Rows: 26110000 -> 4936
Loaded and binned EE85731. Rows: 0 -> 0
Loaded and binned EE85732. Rows: 26110000 -> 4936
Loaded and binned EE85733. Rows: 26110000 -> 4936
Loaded and binned EE85734. Rows: 26110000 -> 4936
Loaded and binned EE85737. Rows: 26110000 -> 4936
Loaded and binned EE85739. Rows: 26110000 -> 4936
Loaded and binned EE85741. Rows: 26110000 -> 4936
Loaded and binned EE85743. Rows: 26110000 -> 4936
Loaded and binned EE85746. Rows: 26110000 -> 4936
Loaded and binned EE85749. Rows: 26110000 -> 4936
Loaded and binned EE85750. Rows: 26110000 -> 4936
Loaded and binned EE85752. Rows: 26110000 -> 4936
Loaded and binned EE85753. Rows: 26110000 -> 4936
Loaded and binned EE86234. Rows: 26110000 -> 4936
Loaded and binned EE86255. Rows: 26110000 -> 4936
Loaded and binned EE86259. Rows: 26110000 -> 4936
Loaded and binned EE87865. Rows: 26110000 -> 4936
Loaded and binned EE87866. Rows: 26110000 -> 4936
Loaded and binned EE87867. Rows: 26110000 -> 4936
Loaded and binned EE87868. Rows: 26110000 -> 4936
Loaded and binned EE87869. Rows: 26110000 -> 4936
Loaded and binned EE87870. Rows: 26110000 -> 4936
Loaded and binned EE87871. Rows: 26110000 -> 4936
Loaded and binned EE87872. Rows: 26110000 -> 4936
Loaded and binned EE87873. Rows: 26110000 -> 4936
Loaded and binned EE87874. Rows: 26110000 -> 4936
Loaded and binned EE87875. Rows: 26110000 -> 4936
Loaded and binned EE87876. Rows: 26110000 -> 4936
Loaded and binned EE87877. Rows: 26110000 -> 4936
Loaded and binned EE87878. Rows: 26110000 -> 4936
Loaded and binned EE87879. Rows: 26110000 -> 4936
Loaded and binned EE87880. Rows: 26110000 -> 4936
Loaded and binned EE87881. Rows: 26110000 -> 4936
Loaded and binned EE87882. Rows: 26110000 -> 4936
Loaded and binned EE87883. Rows: 26110000 -> 4936
Loaded and binned EE87884. Rows: 26110000 -> 4936
Loaded and binned EE87885. Rows: 26110000 -> 4936
Loaded and binned EE87886. Rows: 26110000 -> 4936
Loaded and binned EE87887. Rows: 26110000 -> 4936
Loaded and binned EE87888. Rows: 26110000 -> 4936
Loaded and binned EE87889. Rows: 26110000 -> 4936
Loaded and binned EE87890. Rows: 26110000 -> 4936
Loaded and binned EE87891. Rows: 26110000 -> 4936
Loaded and binned EE87896. Rows: 26110000 -> 4936
Loaded and binned EE87897. Rows: 26110000 -> 4936
Loaded and binned EE87898. Rows: 26110000 -> 4936
Loaded and binned EE87899. Rows: 26110000 -> 4936
Loaded and binned EE87900. Rows: 26110000 -> 4936
